
"","Comment.Box.object.43.Value","Multiple.Choice.object.44.Use.Propietary.Data.Sets","Multiple.Choice.object.44.Do.not.use.version.control","Multiple.Choice.object.44.Do.not.share.any.materials..data..code..other.materials.","Multiple.Choice.object.44.Write.theory.part.as.complicated.as.possible..to.make.you.look.smart.","Multiple.Choice.object.44.only.report.successful.experiments....pick.your.benchmark..","Multiple.Choice.object.44.tinker.with.your.set.seed.until.you.have.a.good.result...and.only.report.that.one","Multiple.Choice.object.44.use.high.tech.expensive.compute","Multiple.Choice.object.44.reference.to.obscure.sources.instead.of.explaining.theory.and.problem.conceptualization","Multiple.Choice.object.44.use.many.dependencies.in.code","Multiple.Choice.object.44..data.available.on.request....and.be.unreachable","Comment.Box.object.61.Value","Multiple.Choice.object.48.Share.data.code.computational.environment","Multiple.Choice.object.48.Share.materials..other.than.data.code.computational.environment.","Multiple.Choice.object.48.Share.your.seeds.for.randomization","Multiple.Choice.object.48.Write.clear.methods.sections","Multiple.Choice.object.48.Write.clear.pseudo.algorithms","Multiple.Choice.object.48.Write.clear.theory.section","Multiple.Choice.object.48.Use.version.control..git.or.other.","Multiple.Choice.object.48.Use.docker..or.other.container.to.share.computational.environment.","Multiple.Choice.object.48.Test.your.code","Multiple.Choice.object.48.Test.your.proof","Multiple.Choice.object.48.Make.providence.of.used.data.traceable","Multiple.Choice.object.48.Use.commonly.accepted.benchmark.data.sets","Multiple.Choice.object.48.Fill.in.reproducibility.forms.when.submitting.work","Comment.Box.object.49.Value","Multiple.Choice.object.51.I.shared.data","Multiple.Choice.object.51.I.shared.code","Multiple.Choice.object.51.I.shared.a.computational.environment","Multiple.Choice.object.51.I.shared.other.research.materials","Multiple.Choice.object.51.I.shared.seeds.for.randomization","Multiple.Choice.object.51.I.wrote.a.clear.methods.section","Multiple.Choice.object.51.I.wrote.a.clear.pseudo.algorithm","Multiple.Choice.object.51.I.wrote.a.clear.theory.section","Multiple.Choice.object.51.I.used.version.control..git.or.other.","Multiple.Choice.object.51.I.used.docker..or.other.container.to.share.computational.environment.","Multiple.Choice.object.51.I.tested.my.code","Multiple.Choice.object.51.I.tested.my.proof","Multiple.Choice.object.51.I.made.the.providence.of.used.data.clear","Multiple.Choice.object.51.I.used.commonly.accepted.benchmarks","Multiple.Choice.object.51.I.filled.in.a.reproducibility.form.for.a.conference.or.journal.submission","Comment.Box.object.52.Value","Slider.object.54.Value","Slider.object.55.Value","Slider.object.56.Value","Slider.object.57.Value","Comment.Box.object.60.Value"
"1","What is your first association when you hear the term “Reproducible Research”?  
Please write your reply below","Let's turn the previous thought around and think about **how to make things less reproducible**: 

Here is a list of things you can do to make your work as non-reproducible as possible. Which are the **three most impactful actions** to take if you want to make your work **as least reproducible as possible**? ","Let's turn the previous thought around and think about **how to make things less reproducible**: 

Here is a list of things you can do to make your work as non-reproducible as possible. Which are the **three most impactful actions** to take if you want to make your work **as least reproducible as possible**? ","Let's turn the previous thought around and think about **how to make things less reproducible**: 

Here is a list of things you can do to make your work as non-reproducible as possible. Which are the **three most impactful actions** to take if you want to make your work **as least reproducible as possible**? ","Let's turn the previous thought around and think about **how to make things less reproducible**: 

Here is a list of things you can do to make your work as non-reproducible as possible. Which are the **three most impactful actions** to take if you want to make your work **as least reproducible as possible**? ","Let's turn the previous thought around and think about **how to make things less reproducible**: 

Here is a list of things you can do to make your work as non-reproducible as possible. Which are the **three most impactful actions** to take if you want to make your work **as least reproducible as possible**? ","Let's turn the previous thought around and think about **how to make things less reproducible**: 

Here is a list of things you can do to make your work as non-reproducible as possible. Which are the **three most impactful actions** to take if you want to make your work **as least reproducible as possible**? ","Let's turn the previous thought around and think about **how to make things less reproducible**: 

Here is a list of things you can do to make your work as non-reproducible as possible. Which are the **three most impactful actions** to take if you want to make your work **as least reproducible as possible**? ","Let's turn the previous thought around and think about **how to make things less reproducible**: 

Here is a list of things you can do to make your work as non-reproducible as possible. Which are the **three most impactful actions** to take if you want to make your work **as least reproducible as possible**? ","Let's turn the previous thought around and think about **how to make things less reproducible**: 

Here is a list of things you can do to make your work as non-reproducible as possible. Which are the **three most impactful actions** to take if you want to make your work **as least reproducible as possible**? ","Let's turn the previous thought around and think about **how to make things less reproducible**: 

Here is a list of things you can do to make your work as non-reproducible as possible. Which are the **three most impactful actions** to take if you want to make your work **as least reproducible as possible**? ","I think this is even more impactful to make my work as least reproducible as possible:","Here is a list of research practices for reproducible research, **which ones are the most important ones**? Please pick your **top three**. 
","Here is a list of research practices for reproducible research, **which ones are the most important ones**? Please pick your **top three**. 
","Here is a list of research practices for reproducible research, **which ones are the most important ones**? Please pick your **top three**. 
","Here is a list of research practices for reproducible research, **which ones are the most important ones**? Please pick your **top three**. 
","Here is a list of research practices for reproducible research, **which ones are the most important ones**? Please pick your **top three**. 
","Here is a list of research practices for reproducible research, **which ones are the most important ones**? Please pick your **top three**. 
","Here is a list of research practices for reproducible research, **which ones are the most important ones**? Please pick your **top three**. 
","Here is a list of research practices for reproducible research, **which ones are the most important ones**? Please pick your **top three**. 
","Here is a list of research practices for reproducible research, **which ones are the most important ones**? Please pick your **top three**. 
","Here is a list of research practices for reproducible research, **which ones are the most important ones**? Please pick your **top three**. 
","Here is a list of research practices for reproducible research, **which ones are the most important ones**? Please pick your **top three**. 
","Here is a list of research practices for reproducible research, **which ones are the most important ones**? Please pick your **top three**. 
","Here is a list of research practices for reproducible research, **which ones are the most important ones**? Please pick your **top three**. 
","This list is not complete, you should add the following good practice for reproducible research:","Here is a list of research practices for reproducible research. Which ones do you **implement** in your daily work as a researcher? Please **pick all research practices that you used/implemented since the beginning of the year**.","Here is a list of research practices for reproducible research. Which ones do you **implement** in your daily work as a researcher? Please **pick all research practices that you used/implemented since the beginning of the year**.","Here is a list of research practices for reproducible research. Which ones do you **implement** in your daily work as a researcher? Please **pick all research practices that you used/implemented since the beginning of the year**.","Here is a list of research practices for reproducible research. Which ones do you **implement** in your daily work as a researcher? Please **pick all research practices that you used/implemented since the beginning of the year**.","Here is a list of research practices for reproducible research. Which ones do you **implement** in your daily work as a researcher? Please **pick all research practices that you used/implemented since the beginning of the year**.","Here is a list of research practices for reproducible research. Which ones do you **implement** in your daily work as a researcher? Please **pick all research practices that you used/implemented since the beginning of the year**.","Here is a list of research practices for reproducible research. Which ones do you **implement** in your daily work as a researcher? Please **pick all research practices that you used/implemented since the beginning of the year**.","Here is a list of research practices for reproducible research. Which ones do you **implement** in your daily work as a researcher? Please **pick all research practices that you used/implemented since the beginning of the year**.","Here is a list of research practices for reproducible research. Which ones do you **implement** in your daily work as a researcher? Please **pick all research practices that you used/implemented since the beginning of the year**.","Here is a list of research practices for reproducible research. Which ones do you **implement** in your daily work as a researcher? Please **pick all research practices that you used/implemented since the beginning of the year**.","Here is a list of research practices for reproducible research. Which ones do you **implement** in your daily work as a researcher? Please **pick all research practices that you used/implemented since the beginning of the year**.","Here is a list of research practices for reproducible research. Which ones do you **implement** in your daily work as a researcher? Please **pick all research practices that you used/implemented since the beginning of the year**.","Here is a list of research practices for reproducible research. Which ones do you **implement** in your daily work as a researcher? Please **pick all research practices that you used/implemented since the beginning of the year**.","Here is a list of research practices for reproducible research. Which ones do you **implement** in your daily work as a researcher? Please **pick all research practices that you used/implemented since the beginning of the year**.","Here is a list of research practices for reproducible research. Which ones do you **implement** in your daily work as a researcher? Please **pick all research practices that you used/implemented since the beginning of the year**.","This list is not complete, you should add the following good practice for reproducible research:","We would like to know which field of Computer Science you work in and which methods you use in your work. Use the slider to **position yourself along the continuum** based on how much you agree with a particular extreme label.


<br>

**My work is:**","<br>
<br>

**I design/evaluate:**","<br>
<br>

**I work mostly with:**","<br>
<br>

**My experiments are:**","<br>

I work in the following subfield of computer science:"
"2","Publish your code and people can get the same results reported in your paper by runing your code","0","0","1","1","1","0","0","0","0","0","","1","0","0","1","1","0","0","0","0","0","0","0","0","","1","1","1","0","0","1","1","0","0","0","1","0","0","0","0","","39","91","93","16","Data Mining"
"3","That anyone is able to execute the documented research methodologies and get the same results as published","0","0","0","1","1","0","0","1","0","1","","1","0","0","1","1","0","1","0","0","0","0","0","0","","1","1","1","0","0","1","0","0","1","1","1","0","0","0","0","","100","15","51","90","computational policy analysis"
"4","open source, open data, open access","1","0","0","0","1","0","0","0","0","1","","1","0","0","1","0","1","1","0","1","1","0","0","0","","1","1","1","0","0","1","0","1","1","0","1","1","1","1","1","","88","74","100","90","data science?"
"5","It is clear how results were generated, and everyone can repeat the process to get the same results.","0","0","0","1","1","0","0","1","0","0","","1","0","0","0","0","0","1","0","0","0","0","1","0","","1","1","0","0","0","0","0","0","1","0","1","0","0","0","0","","95","72","95","25","Natural Language Processing"
"6","Public code so I can reproduce all results myself ","0","0","1","0","1","1","1","0","0","0","","1","0","1","1","0","0","0","0","0","0","0","0","0","","0","1","1","0","0","1","0","0","0","0","1","0","0","1","0","","70","77","24","21","reinforcement learning"
"7","publish data and code on github","1","0","0","0","1","1","0","0","0","0","","1","0","1","0","0","0","0","0","0","0","0","0","0","","1","1","0","0","1","0","0","0","0","0","1","0","0","0","0","","78","80","16","20","reinforcement learning"
"8","good research on which we can build","0","0","1","0","1","0","0","0","0","0","","1","0","0","0","0","0","0","0","0","0","0","0","0","pre registration of empirical research, review data analysis scripts and output files, review data reported in paper for copying errors, ","1","1","0","1","1","1","0","0","0","1","1","0","0","0","0","verify data analysis script with synthetic data","","","84","77","hci"
"9","Human and machine readable papers (so the full text and links to software and data that contribute to the results in a format that can be easily reused)","0","0","1","1","0","0","0","0","0","1","divide research project/experiments in tons of half baked papers that do not have clear providence to the right (version of the) code and data involved in each paper chunk","1","1","0","0","0","0","0","0","0","0","1","0","0","Clear data./software sharing protocols that ensure materials are accessible","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","","82","18","","72","Information systems (management)"
"10","github repository","1","0","1","1","0","0","1","1","0","1","","1","1","0","0","0","0","0","0","1","0","0","0","0","","0","1","1","0","0","1","1","0","1","0","1","0","0","0","0","","27","83","1","1","Physics
"
